,Name,Movie,Edition,Year of award,Award,Win?
358,Charles Boyer,Gaslight,17,1945,LeadingActor,False
359,Bing Crosby,Going My Way,17,1945,LeadingActor,True
360,Barry Fitzgerald,Going My Way,17,1945,LeadingActor,False
361,Cary Grant,None but the Lonely Heart,17,1945,LeadingActor,False
362,Alexander Knox,Wilson,17,1945,LeadingActor,False
363,Ingrid Bergman,Gaslight,17,1945,LeadingActress,True
364,Claudette Colbert,Since You Went Away,17,1945,LeadingActress,False
365,Bette Davis,Mr. Skeffington,17,1945,LeadingActress,False
366,Greer Garson,Mrs. Parkington,17,1945,LeadingActress,False
367,Barbara Stanwyck,Double Indemnity,17,1945,LeadingActress,False
368,John Seitz,Double Indemnity,17,1945,Cinematography,False
369,Sidney Wagner,Dragon Seed,17,1945,Cinematography,False
370,Joseph Ruttenberg,Gaslight,17,1945,Cinematography,False
371,Lionel Lindon,Going My Way,17,1945,Cinematography,False
372,Joseph LaShelle,Laura,17,1945,Cinematography,True
373,Glen MacWilliams,Lifeboat,17,1945,Cinematography,False
374,"Stanley Cortez, Lee Garmes",Since You Went Away,17,1945,Cinematography,False
375,"Robert Surtees, Harold Rosson",Thirty Seconds over Tokyo,17,1945,Cinematography,False
376,Charles Lang,The Uninvited,17,1945,Cinematography,False
377,George Folsey,The White Cliffs of Dover,17,1945,Cinematography,False
378,"Rudolph Mat̩, Allen M. Davey",Cover Girl,17,1945,Cinematography,False
379,Edward Cronjager,Home in Indiana,17,1945,Cinematography,False
380,Charles Rosher,Kismet,17,1945,Cinematography,False
381,Ray Rennahan,Lady in the Dark,17,1945,Cinematography,False
382,George Folsey,Meet Me in St. Louis,17,1945,Cinematography,False
383,Leon Shamroy,Wilson,17,1945,Cinematography,True
384,Billy Wilder,Double Indemnity,17,1945,Director,False
385,Leo McCarey,Going My Way,17,1945,Director,True
386,Otto Preminger,Laura,17,1945,Director,False
387,Alfred Hitchcock,Lifeboat,17,1945,Director,False
388,Henry King,Wilson,17,1945,Director,False
389,Bing Crosby,The Bells of St. Mary's,18,1946,LeadingActor,False
390,Gene Kelly,Anchors Aweigh,18,1946,LeadingActor,False
391,Ray Milland,The Lost Weekend,18,1946,LeadingActor,True
392,Gregory Peck,The Keys of the Kingdom,18,1946,LeadingActor,False
393,Cornel Wilde,A Song to Remember,18,1946,LeadingActor,False
394,Ingrid Bergman,The Bells of St. Mary's,18,1946,LeadingActress,False
395,Joan Crawford,Mildred Pierce,18,1946,LeadingActress,True
396,Greer Garson,The Valley of Decision,18,1946,LeadingActress,False
397,Jennifer Jones,Love Letters,18,1946,LeadingActress,False
398,Gene Tierney,Leave Her to Heaven,18,1946,LeadingActress,False
399,Arthur Miller,The Keys of the Kingdom,18,1946,Cinematography,False
400,John F. Seitz,The Lost Weekend,18,1946,Cinematography,False
401,Ernest Haller,Mildred Pierce,18,1946,Cinematography,False
402,Harry Stradling,The Picture of Dorian Gray,18,1946,Cinematography,True
403,George Barnes,Spellbound,18,1946,Cinematography,False
404,"Robert Planck, Charles Boyle",Anchors Aweigh,18,1946,Cinematography,False
405,Leon Shamroy,Leave Her to Heaven,18,1946,Cinematography,True
406,Leonard Smith,National Velvet,18,1946,Cinematography,False
407,"Tony Gaudio, Allen M. Davey",A Song to Remember,18,1946,Cinematography,False
408,George Barnes,The Spanish Main,18,1946,Cinematography,False
409,Leo McCarey,The Bells of St. Mary's,18,1946,Director,False
410,Billy Wilder,The Lost Weekend,18,1946,Director,True
411,Clarence Brown,National Velvet,18,1946,Director,False
412,Jean Renoir,The Southerner,18,1946,Director,False
413,Alfred Hitchcock,Spellbound,18,1946,Director,False
414,Fredric March,The Best Years of Our Lives,19,1947,LeadingActor,True
415,Laurence Olivier,Henry V,19,1947,LeadingActor,False
416,Larry Parks,The Jolson Story,19,1947,LeadingActor,False
417,Gregory Peck,The Yearling,19,1947,LeadingActor,False
418,James Stewart,It's a Wonderful Life,19,1947,LeadingActor,False
419,Olivia de Havilland,To Each His Own,19,1947,LeadingActress,True
420,Celia Johnson,Brief Encounter,19,1947,LeadingActress,False
421,Jennifer Jones,Duel in the Sun,19,1947,LeadingActress,False
422,Rosalind Russell,Sister Kenny,19,1947,LeadingActress,False
423,Jane Wyman,The Yearling,19,1947,LeadingActress,False
424,Arthur Miller,Anna and the King of Siam,19,1947,Cinematography,True
425,George Folsey,The Green Years,19,1947,Cinematography,False
426,Joseph Walker,The Jolson Story,19,1947,Cinematography,False
427,"Charles Rosher, Leonard Smith, Arthur Arling",The Yearling,19,1947,Cinematography,True
