,Name,Movie,Edition,Year of award,Award,Win?
402,Anthony Quinn,Viva Zapata!,25,1952,SupportingActor,True
403,Shirley Booth,"Come Back, Little Sheba",25,1952,LeadingActress,True
404,Joan Crawford,Sudden Fear,25,1952,LeadingActress,False
405,Bette Davis,The Star,25,1952,LeadingActress,False
406,Julie Harris,The Member of the Wedding,25,1952,LeadingActress,False
407,Susan Hayward,With a Song in My Heart,25,1952,LeadingActress,False
408,Gloria Grahame,The Bad and the Beautiful,25,1952,SupportingActress,True
409,Jean Hagen,Singin' in the Rain,25,1952,SupportingActress,False
410,Colette Marchand,Moulin Rouge,25,1952,SupportingActress,False
411,Terry Moore,"Come Back, Little Sheba",25,1952,SupportingActress,False
412,Thelma Ritter,With a Song in My Heart,25,1952,SupportingActress,False
413,Marlon Brando,Julius Caesar,26,1953,LeadingActor,False
414,Richard Burton,The Robe,26,1953,LeadingActor,False
415,Montgomery Clift,From Here to Eternity,26,1953,LeadingActor,False
416,William Holden,Stalag 17,26,1953,LeadingActor,True
417,Burt Lancaster,From Here to Eternity,26,1953,LeadingActor,False
418,Eddie Albert,Roman Holiday,26,1953,SupportingActor,False
419,Brandon De Wilde,Shane,26,1953,SupportingActor,False
420,Jack Palance,Shane,26,1953,SupportingActor,False
