,birthplace,date_of_birth,race_ethnicity,religion,religion:confidence,sexual_orientation,year_of_award,award,biourl,movie,person,movieID,movie_IMDB_Link
58,"Marian Glas, Anglesey, Wales",30-May-12,White,Na,1.0,Na,1960,Best Supporting Actor,http://www.nndb.com/people/120/000063928/,Ben-Hur,Hugh Griffith,tt0052618,https://www.imdb.com/title/tt0052618/
59,"Sucha, Galicia, Austria",22-Jun-06,White,Jewish,0.963,Straight,1961,Best Director,http://www.nndb.com/people/982/000024910/,The Apartment,Billy Wilder,tt0053604,https://www.imdb.com/title/tt0053604/
60,"Sucha, Galicia, Austria",22-Jun-06,White,Jewish,1.0,Straight,1961,Best Director,http://www.nndb.com/people/982/000024910/,The Apartment,Billy Wilder,tt0053604,https://www.imdb.com/title/tt0053604/
61,"Winchester, In",10-Sep-14,White,Na,1.0,Straight,1961,Best Director,http://www.nndb.com/people/460/000032364/,West Side Story,Robert Wise,tt0055614,https://www.imdb.com/title/tt0055614/
62,"Croydon, Surrey, England",25-Mar-08,White,Na,1.0,Straight,1963,Best Director,http://www.nndb.com/people/462/000032366/,Lawrence of Arabia,David Lean,tt0056172,https://www.imdb.com/title/tt0056172/
63,"Shipley, Yorkshire, England",5-Jun-28,White,Na,1.0,Bisexual,1964,Best Director,http://www.nndb.com/people/249/000043120/,Tom Jones,Tony Richardson,tt0057590,https://www.imdb.com/title/tt0057590/
64,New York City,7-Jul-1899,White,Na,0.6571,Gay,1965,Best Director,http://www.nndb.com/people/373/000041250/,My Fair Lady,George Cukor,tt0058385,https://www.imdb.com/title/tt0058385/
65,"Huyton, Lancashire, England",5-Mar-08,White,Na,1.0,Straight,1965,Best Actor,http://www.nndb.com/people/132/000043003/,My Fair Lady,Rex Harrison,tt0058385,https://www.imdb.com/title/tt0058385/
66,"Winchester, In",10-Sep-14,White,Na,1.0,Straight,1966,Best Director,http://www.nndb.com/people/460/000032364/,The Sound of Music,Robert Wise,tt0059742,https://www.imdb.com/title/tt0059742/
67,"Vienna, Austria",29-Apr-07,White,Jewish,1.0,Straight,1967,Best Director,http://www.nndb.com/people/538/000032442/,A Man for All Seasons,Fred Zinnemann,tt0060665,https://www.imdb.com/title/tt0060665/
68,"Berlin, Germany",6-Nov-31,White,Jewish,1.0,Straight,1968,Best Director,http://www.nndb.com/people/455/000023386/,The Graduate,Mike Nichols,tt0061722,https://www.imdb.com/title/tt0061722/
69,"St. Louis Park, Mn",29-Nov-54,White,Jewish,1.0,Straight,2008,Best Director,http://www.nndb.com/people/399/000025324/,No Country for Old Men,Joel Coen,tt0477348,https://www.imdb.com/title/tt0477348/
70,"St. Louis Park, Mn",21-Sep-57,White,Jewish,1.0,Straight,2008,Best Director,http://www.nndb.com/people/400/000025325/,No Country for Old Men,Ethan Coen,tt0477348,https://www.imdb.com/title/tt0477348/
